Country Name,WB Code,Region,Income Group,Probability of Survival to Age 5,Expected Years of School,Harmonized Test Scores,Learning-Adjusted Years of School,Fraction of Children Under 5 Not Stunted,Adult Survival Rate,HUMAN CAPITAL INDEX 2020 (LOWER BOUND),HUMAN CAPITAL INDEX 2020,HUMAN CAPITAL INDEX 2020 (UPPER BOUND)
Afghanistan,AFG,South Asia,Low income,0.93,9.7,358,5.5,0.62,0.77,0.39,0.41,0.43
Albania,ALB,Europe & Central Asia,Upper middle income,0.99,12.6,424,8.5,0.88,0.91,0.6,0.61,0.62
Algeria,DZA,Middle East & North Africa,Lower middle income,0.98,11.5,366,6.7,0.87,0.9,0.51,0.52,0.52
Angola,AGO,Sub-Saharan Africa,Lower middle income,0.92,9.2,327,4.8,0.59,0.68,0.33,0.37,0.4
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,0.99,12.7,397,8,-,0.87,0.55,0.57,0.58
Argentina,ARG,Latin America & Caribbean,Upper middle income,0.99,12.7,410,8.3,0.92,0.85,0.58,0.59,0.6
Armenia,ARM,Europe & Central Asia,Upper middle income,0.99,11.1,439,7.8,0.89,0.83,0.54,0.56,0.57
Australia,AUS,East Asia & Pacific,High income,1,13.6,512,11.1,-,0.93,0.75,0.76,0.77
Austria,AUT,Europe & Central Asia,High income,1,13.4,506,10.8,-,0.92,0.72,0.73,0.75
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,0.98,12.5,412,8.2,0.82,0.85,0.55,0.57,0.58
Bahrain,BHR,Middle East & North Africa,High income,0.99,12.7,434,8.8,-,0.93,0.61,0.62,0.63
Bangladesh,BGD,South Asia,Lower middle income,0.97,9.8,367,5.8,0.69,0.85,0.44,0.45,0.46
Belarus,BLR,Europe & Central Asia,Upper middle income,1,13.8,486,10.8,-,0.78,0.65,0.67,0.68
Belgium,BEL,Europe & Central Asia,High income,1,13.5,516,11.1,-,0.91,0.74,0.75,0.76
Benin,BEN,Sub-Saharan Africa,Lower middle income,0.9,9.6,384,5.9,-,0.74,0.37,0.4,0.43
Bhutan,BTN,South Asia,Lower middle income,0.97,9.8,389,6.1,0.82,0.81,0.44,0.47,0.49
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,0.99,11.7,412,7.7,0.91,0.89,0.56,0.57,0.58
Botswana,BWA,Sub-Saharan Africa,Upper middle income,0.96,7.7,381,4.7,-,0.75,0.36,0.39,0.41
Brazil,BRA,Latin America & Caribbean,Upper middle income,0.98,-,410,-,-,0.81,-,-,-
Brunei Darussalam,BRN,East Asia & Pacific,High income,0.99,13,430,9,0.8,0.86,0.6,0.61,0.62
Bulgaria,BGR,Europe & Central Asia,Upper middle income,0.99,12.4,432,8.6,0.93,0.82,0.58,0.6,0.61
Burkina Faso,BFA,Sub-Saharan Africa,Low income,0.92,7,407,4.6,0.72,0.74,0.36,0.38,0.4
Burundi,BDI,Sub-Saharan Africa,Low income,0.94,7.4,415,4.9,0.42,0.69,0.35,0.37,0.39
Cambodia,KHM,East Asia & Pacific,Lower middle income,0.97,9.3,-,-,0.67,0.8,-,-,-
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,0.92,9.1,376,5.5,0.69,0.69,0.37,0.4,0.42
Canada,CAN,North America,High income,0.99,13.7,530,11.6,-,0.93,0.78,0.79,0.79
Central African Republic,CAF,Sub-Saharan Africa,Low income,0.88,5.3,-,-,0.57,0.55,-,-,-
