True,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
SH.DTH.IMRT,1.0,0.9312639464456487,0.8645999362448198,0.8018409308256296,0.745098820529168,0.6946525342684093,0.6521357985336309,0.6179869301880778,0.589615875039847,0.5668632451386675,0.5469397513547976,0.5263388587822759,0.5037854638189353,0.4785224737009882,0.45039050047816387,0.419270003187759,0.3862368504941026,0.35312400382531084,0.3212862607586866,0.29108224418233986,0.26243226012113485,0.2352566145999362,0.20804112209116987,0.18074593560726804,0.15301243226012118,0.12464137711189038,0.09654925087663369,0.06989161619381579,0.044548932100733185,0.021118903410902168,0.0
SP.POP.6569.MA.5Y,0.015974711143769138,0.012691967262330461,0.005268259465838865,0.0,0.0037658978320234127,0.01961272436984518,0.03641347252027605,0.061012893389487566,0.09282270596121434,0.13112064968557258,0.17505547560863954,0.21297497388373432,0.2548572396314268,0.2998830636453669,0.346584524698238,0.3940165194420959,0.43015378409684657,0.46971158731047935,0.5114989507629357,0.5529807889332348,0.5928224578931098,0.6210763125335104,0.6496150871507298,0.6800620783005173,0.71409691913166,0.7529081221505625,0.7788266070551486,0.8104146029533756,0.8534409578998134,0.9153566934296056,1.0000000000000002
SH.DTH.MORT,1.0,0.9247611345733371,0.8524575433551982,0.7855752238895379,0.7248030670620302,0.6714889028663851,0.626022104411897,0.5892413214724295,0.5586006529487526,0.5336508221762961,0.51169616916764,0.49007098571300206,0.4675172971515859,0.4428070806002336,0.41570072183784107,0.38625812441968427,0.35534788989726546,0.32422799293138044,0.2941264564051877,0.265612364093809,0.2388055231077965,0.2135262227813221,0.18833677778776176,0.16329709168239132,0.13828735735465897,0.11300805702818467,0.0878485638122623,0.06382723814658403,0.04082427292059787,0.019438703687063852,0.0
SP.POP.DPND.OL,0.0,0.01256596145744937,0.022383729781336514,0.03153025430069123,0.042461234510766444,0.056687124249075405,0.07921721126719583,0.10348824399424372,0.1295611642451424,0.15717163697498138,0.186325149088564,0.219898418048873,0.25358479820032387,0.2877771121589303,0.32295256197485833,0.3594975355003187,0.4004218463221314,0.44175714249062437,0.48349617294100855,0.5253514257337615,0.5674019517762827,0.6094073229291099,0.651536214391456,0.6938597262211899,0.7361030895850076,0.7786289651091993,0.8176138382469633,0.85642366018381,0.897662991648392,0.9446988377467409,0.9999999999999998
SP.POP.6569.FE.5Y,0.014649338439286508,0.01267632980171629,0.005842422359762178,0.0,0.0027813701318801787,0.018169070252592512,0.03646894927550792,0.06450267227567985,0.1000613860317312,0.14036382875837217,0.18372129444208052,0.21871449271088927,0.2565656458626011,0.29730444649758403,0.3408449131194311,0.3867390369886483,0.4220645175444202,0.46208746147470525,0.5043675798473559,0.5450642642365648,0.5822597219085768,0.6102709005534723,0.6366841711550835,0.6642777134456657,0.6965694830439448,0.7356206482873102,0.7673669746224732,0.8071444418798472,0.8574619635686116,0.921201083723816,0.9999999999999998
SP.POP.DPND.YG,1.0,0.9549278004960464,0.9040371407330428,0.8524720636413528,0.8069501906128052,0.7698458689910139,0.7364880628541135,0.7101609087636729,0.6879658154287194,0.6656982490405978,0.6416122189091182,0.6183549769720615,0.5961161615262709,0.5733956945787162,0.548683316243636,0.5212655093635898,0.4979462029375066,0.4684526073139772,0.4358568837083743,0.40412243924410807,0.37467513208962866,0.3401900192563183,0.31000500644331286,0.28101079513231,0.24865976053008532,0.21109651343506153,0.17357163794258068,0.13042817482050428,0.08452765639203697,0.04032321331036992,0.0
SP.URB.TOTL.IN.ZS,0.0,0.04709686489526277,0.09384226064951573,0.14023618726275888,0.18620835090679044,0.23168845775340952,0.2690847743568119,0.30317728103472597,0.33698861239983113,0.37044847462392827,0.40369745536342005,0.43659496696190114,0.46935189090397955,0.5016167580486437,0.5335301560522989,0.5650920849149452,0.5964431322929853,0.627302122873612,0.6579502319696333,0.6883171657528475,0.718332630395051,0.7479966258962465,0.7773794460846339,0.8064810909602143,0.8352312666947848,0.8636299732883455,0.8916772107408972,0.9193026852242383,0.9465766905665687,0.9734992267678901,1.0
SH.DYN.MORT.FE,1.0,0.9027777777777777,0.8166666666666667,0.7416666666666667,0.6722222222222223,0.6111111111111109,0.5611111111111111,0.5166666666666666,0.4777777777777777,0.44444444444444436,0.41111111111111115,0.38333333333333336,0.35555555555555557,0.3277777777777778,0.3,0.27499999999999997,0.24722222222222218,0.22222222222222215,0.2,0.17777777777777776,0.15833333333333327,0.1388888888888889,0.12222222222222218,0.10555555555555557,0.08888888888888885,0.07500000000000001,0.05833333333333329,0.0444444444444444,0.030555555555555503,0.013888888888888895,0.0
SP.POP.TOTL.FE.ZS,0.0,0.01396338054229318,0.04141465606954853,0.07865684630861836,0.12065335813062461,0.16384672104042863,0.20732388034878113,0.2522504690154648,0.2996989544651427,0.3512267569957288,0.40753900861494685,0.4682197859397377,0.5314946277799493,0.5958525758380517,0.6594393755372465,0.7205945229198676,0.7794503492867051,0.835465348030553,0.8858061578895473,0.9270939613016509,0.9573645319185289,0.9757483564865623,0.9837535211281505,0.984968847745705,0.9841004713945409,0.9844593381676532,0.9864897042965737,0.9891933941883906,0.9925854509234426,0.9963716962526235,1.0
SP.POP.1014.MA.5Y,0.9999999999999996,0.8913080827573068,0.7852117067633988,0.6838757936474256,0.597766357449204,0.5394036106560929,0.5093596015068882,0.5040652752292938,0.5145186846603549,0.5251128347452481,0.5233408883264645,0.5114091449844986,0.49342659166677905,0.47270344572083545,0.452483013971968,0.43249804513185586,0.396335760673018,0.3633594430802751,0.33394199374551103,0.3107492961644125,0.2969670103515769,0.2874478325270102,0.2830948005271514,0.28072616974449804,0.27319593488926186,0.2530938777570504,0.21506065640381777,0.16711042312712854,0.11125663445862255,0.05354902082168023,0.0
